OMSTenantId,outHasActiveO365,DeletedUserCnt,EnabledUsers,NumProvisionedDesktop,NumProvisionedMobile,AvgSpoDays,AvgDaysUsedPublisher,AvgDaysUsedAccess,AvgDaysUsedOneNote,AvgDaysUsedPpt,AvgDaysUsedWord,AvgDaysUsedExcel,AvgEmailDays,AvgDaysUsedSkype,AvgDaysEmailLinkedin,AvgDaysEmailTwitter,AvgDaysEmailFb,AvgDaysEmailApple,AvgDaysEmailAmazon,AvgDaysEmailPayPal,AvgDaysEmailDropBox,HasReadGmail,NumExternalEmailsRcvd,NCustomDomains,NumPaidSubscriptions,IsAtRiskGroup,TenureFirstPaid,O365SmbIsAutoRenew,O365SmbChannelType
7d585e3a-0c2e-42ea-b275-d55fff09ea81,1,0,1,1,0,0,0,0,0,0,0,3,24,0,0,0,0,3,0,0,0,1,33,1,2,0,38.55263158,1,Direct
0006d1df-c477-4cbe-a67d-bed00074edba,0,0,1,1,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.59210526,1,Direct
7d586d75-6aef-4268-b510-a4e8e2187aa5,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,49.375,1,Direct
00073b57-88ac-4a9f-8e35-5cf5135cd086,1,1,1,2,1,0,0,0,0,0,6.5,8.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,13.51973684,0,Direct
7d58b373-b492-4beb-bafa-1443852a8c91,1,0,1,4,0,0,0,0,0,0,18.5,14.5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,46.97368421,1,Direct
00074c8c-91d1-4472-b16b-7708fb363963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.263157895,1,Syndication
7d597806-de56-4169-9646-54fe1292cf9c,1,0,1,3,0,0,0,0,0,1.5,3.5,0.5,13,0,0,0,3,0,0,0,0,0,0,1,1,1,2.763157895,1,Direct
0007666b-ed6b-49fe-9a34-32ca13f5a228,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.046052632,1,Direct
7d59d5ca-980f-4065-867b-92e149230c0b,1,0,1,1,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.447368421,1,Direct
0007e02d-d715-4a4a-9d1d-5fadeaf3360f,1,0,1,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,25.13157895,1,Direct
7d59ef9f-eb3e-4e07-9e36-8bfd301243c4,1,0,1,3,0,0,0,0,0.333333333,3.333333333,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48.125,1,Direct
0007f8f5-f037-46d6-af6e-431b6d242aa0,1,0,1,2,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17.79605263,1,Direct
7d5a8980-f46d-4cce-ba34-111c2c1bfaa9,1,0,1,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.92763158,1,Direct
00084a94-2592-4ea5-a030-2e220a71b205,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.96052632,1,Direct
7d5aaa8a-a8c8-4e7f-80a5-111f624406f7,0,0,1,1,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22.76315789,1,Direct
00085366-9ccb-44e3-9621-7cefdb1a7ce2,1,0,1,1,0,0,0,0,0,5,13,1,9,0,0,0,0,0,0,0,0,0,8,1,1,0,4.671052632,1,Reseller
7d5b14b4-bc65-434f-b1ef-b143f42923d3,1,0,1,2,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,45.09868421,1,Direct
000899e8-1c10-4ea6-b3fe-8d045a3040f7,1,0,1,1,0,0,0,0,0,0,3,5,18,0,0,0,0,0,0,0,0,0,13,1,2,0,16.15131579,1,Reseller
7d5b3010-8850-4558-ba20-dc2b49d59b43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,36.41447368,1,Syndication
0008d998-0298-43bd-94bd-9b0d74918534,1,0,1,3,1,0,4.5,0,0,2.5,5,1.5,21,0,0,0,0,0,0,0,0,1,10,1,1,0,5.460526316,1,Syndication
7d5b8bf8-eb09-47e1-9c1c-67e96295bae7,1,1,1,2,0,0,0,0,0,0,1.5,15.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,22.5,1,Direct
0008f807-6c3a-467c-9bd6-71a8f80de7ce,1,0,1,2,0,4,0.5,0,0,3,7,3.5,17,0,6,6,0,0,0,0,0,0,2,3,1,1,21.94078947,1,Direct
7d5be6e0-9dc6-432a-b7f5-721e5d32f10b,1,0,1,2,0,0,0,0,0,0,1.666666667,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24.93421053,1,Direct
0009446b-9404-4e0d-b3eb-0350a3b591c1,1,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.48026316,1,Direct
7d5bf2e3-46b5-45fd-9f5d-78a27f75500a,1,0,1,2,0,0,0,0,0,0,6.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.414473684,0,Direct
000962c5-dbeb-4fcf-bbd8-68bf662372c8,1,0,1,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,1,19,1,1,0,5.493421053,1,Direct
7d5c5eea-41fc-490b-bfc6-0f9124aea205,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11.90789474,1,Direct
00096701-ffe6-4b62-b50e-6fc211c0fa10,1,0,1,1,0,0,0,0,0,8,15,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.519736842,1,Direct
